,index,word,date,studyTime,answer
0,0,tackle,1677982850,2,2
1,1,muddle,1677983078,125,1
2,2,abduct,1677983094,3,1
3,3,garner,1677983386,1,0
4,4,irritable,1677983516,0,0
5,5,credit,1677983519,0,0
6,6,forge,1677983552,1,1
7,7,charitable,1677983829,1,2
8,8,addict,1677983832,1,2
9,9,depict,1677983971,2,1
10,10,abduct,1677983978,2,1
11,11,addict,1677983983,1,2
12,12,charitable,1677983988,2,2
13,13,credit,1677983991,1,2
14,14,depict,1677983995,2,1
15,15,forge,1677984002,1,1
16,16,garner,1677984009,1,1
17,17,irritable,1677984018,4,2
18,18,muddle,1677984021,1,2
19,19,tackle,1677984025,1,1
20,20,abduct,1677984032,2,1
21,21,addict,1677984038,1,2
22,22,charitable,1677984040,0,2
23,23,credit,1677984043,1,2
24,24,depict,1677984045,1,2
25,25,forge,1677984049,1,2
26,26,garner,1677984051,1,2
27,27,irritable,1677984055,1,2
28,28,muddle,1677984057,1,2
29,29,tackle,1677984060,0,2
30,30,abduct,1677984063,1,2
31,31,addict,1677984066,0,2
32,32,charitable,1677984068,0,2
33,33,credit,1677984070,0,2
34,34,depict,1677984073,0,2
35,35,forge,1677984075,0,2
36,36,garner,1677984077,0,2
37,37,irritable,1677984080,0,2
38,38,muddle,1677984083,1,2
39,39,tackle,1677984088,3,2
40,40,abduct,1677984092,1,2
41,41,addict,1677984098,4,2
42,42,charitable,1677984102,2,2
43,43,credit,1677984106,2,2
44,44,depict,1677984113,5,2
45,45,forge,1677984386,2,1
46,46,garner,1677984390,1,1
47,47,irritable,1677984396,3,2
48,48,muddle,1677984398,0,2
49,49,tackle,1677984401,1,1
50,50,abduct,1677984410,2,1
51,51,addict,1677984416,2,2
52,52,charitable,1677984419,1,2
53,53,credit,1677984422,1,2
54,54,depict,1677984427,2,1
55,55,forge,1677984435,2,1
56,56,credulous,1677985099,3,1
57,57,strip,1677985107,2,1
58,58,jurisdiction,1677985119,3,1
59,59,proximity,1677985127,3,1
60,60,intensive,1677985133,2,1
61,61,rumble,1677985139,2,1
62,62,engross,1677985146,1,1
63,63,pose,1677985151,1,2
64,64,hideous,1677985155,2,1
65,65,universal,1677985176,3,2
66,66,deplore,1677985181,3,1
67,67,tackle,1677991059,3,1
68,68,muddle,1677991064,2,2
69,69,abduct,1677991068,1,1
70,70,garner,1677991076,2,1
71,71,irritable,1677991082,2,2
72,72,forge,1677991085,1,1
73,73,depict,1677991090,1,2
74,74,credulous,1677991093,1,2
75,75,muddle,1677991096,1,2
76,76,abduct,1677991100,1,1
77,77,garner,1677991104,1,1
78,78,strip,1677991107,1,2
79,79,tackle,1677991111,1,1
80,80,forge,1677991114,1,1
81,81,muddle,1677991118,1,2
82,82,depict,1677991124,4,2
83,83,abduct,1677991132,2,1
84,84,garner,1677992608,2,1
85,85,tackle,1677994468,4,1
86,86,effectuate,1677994475,2,1
87,87,forge,1677994481,2,1
88,88,muddle,1677994495,2,2
89,89,abduct,1677994500,2,1
90,90,depict,1677994513,2,2
91,91,garner,1677994518,2,1
92,92,tackle,1677994524,1,1
93,93,forge,1677994532,2,1
94,94,beat,1677994535,1,2
95,95,abduct,1677994542,3,1
96,96,sacred,1677994547,2,2
97,97,garner,1677994553,1,1
98,98,depict,1677994561,1,2
99,99,forge,1677994566,2,2
100,100,tackle,1677994570,1,1
101,101,abduct,1677994578,1,1
102,102,talent,1677994582,1,2
103,103,garner,1677994586,1,1
104,104,charity,1677994598,2,2
105,105,forge,1677994668,5,1
106,106,depict,1677994675,2,2
107,107,abduct,1677994761,1,1
108,108,tackle,1677994769,1,1
109,109,garner,1677994809,3,1
110,110,flimsy,1677994812,2,1
111,111,forge,1677994826,6,1
112,112,intricate,1677994846,11,1
113,113,abduct,1677994852,17,1
114,114,depict,1677994858,1,2
115,115,garner,1677994862,1,1
116,116,tackle,1677994867,2,2
117,117,forge,1677994871,1,1
118,118,canny,1677994876,1,1
119,119,abduct,1677994883,1,1
120,120,moisten,1677994889,2,2
121,121,garner,1677995581,1,1
122,122,stable,1677995585,2,2
123,123,forge,1677995801,2,2
124,124,tackle,1677995805,1,2
125,125,abduct,1677996029,12,1
126,126,allegiance,1677996034,3,1
127,127,garner,1677996040,2,1
128,128,anonymous,1677996046,2,1
129,129,forge,1677996051,1,1
130,130,economize,1677996059,6,2
131,131,abduct,1677996069,8,2
132,132,tackle,1677996076,4,2
133,133,garner,1677996080,2,2
134,134,improvident,1677996085,3,1
135,135,forge,1677996090,3,1
136,136,assess,1677996099,2,2
137,137,abduct,1677996103,2,2
138,138,novelty,1677996107,2,2
139,139,garner,1677996111,1,2
140,140,tackle,1677996114,1,2
141,141,forge,1677996117,1,2
142,142,stamina,1677996121,1,2
143,143,abduct,1677996135,0,2
144,144,thermometer,1677996139,2,2
145,145,garner,1677996143,1,2
146,146,climax,1677996152,8,2
147,147,forge,1677996158,3,2
148,148,aggression,1677996166,6,2
149,149,abduct,1677996173,5,2
150,150,deputy,1677996178,3,1
151,151,garner,1677996181,1,2
152,152,zealous,1677996186,3,1
153,153,forge,1677996196,3,2
154,154,symbol,1677996200,2,2
155,155,abduct,1677996203,1,2
156,156,fertilizer,1677996208,2,1
157,157,garner,1677996212,1,2
158,158,dogma,1677996215,1,1
159,159,placate,1677996222,2,1
160,160,segregate,1677996228,2,1
161,161,abduct,1677996236,4,2
162,162,pleasure,1677996240,2,2
163,163,density,1677996249,7,1
164,164,elucidate,1677996255,3,1
165,165,originate,1677996261,2,2
166,166,convert,1677996267,4,2
167,167,principal,1677996271,1,2
168,168,carnal,1677996274,1,1
169,169,fret,1677996281,1,1
170,170,explicit,1677996287,4,1
171,171,divulge,1677996291,1,1
172,172,biochemistry,1677996298,1,2
173,173,equivalent,1677996304,3,1
174,174,complement,1677996308,1,2
175,175,copy,1677996311,1,2
176,176,cultivate,1677996318,4,2
177,177,assembly,1677996322,2,2
178,178,dessert,1677996326,1,2
179,179,chill,1677996329,1,2
180,180,quaint,1677996332,1,2
181,181,needy,1677996336,1,2
182,182,sediment,1677996339,1,1
183,183,negotiate,1677996345,2,2
184,184,rival,1677996348,1,1
185,185,inhabitant,1677996354,1,1
186,186,sociable,1677996359,2,1
187,187,heirship,1677996365,1,1
188,188,balance,1677996369,2,2
189,189,alert,1677996373,1,2
190,190,disprove,1677996377,1,1
191,191,abundant,1677996382,1,2
192,192,cohere,1677996386,2,2
193,193,applicant,1677996390,1,2
194,194,concede,1677996393,1,2
195,195,correlate,1677996397,1,2
196,196,fraudulent,1677996402,3,2
197,197,gallery,1677996406,1,2
198,198,hoax,1677996409,1,1
199,199,postpone,1677996418,2,2
200,200,elite,1677996424,5,1
201,201,indignity,1677996429,2,2
202,202,parade,1677996433,2,1
203,203,hazard,1677996440,0,1
204,204,imaginary,1677996602,159,1
205,205,garner,1678034715,5,2
206,206,forge,1678034721,5,0
207,207,abduct,1678034731,2,2
208,208,intricate,1678034735,2,0
209,209,density,1678034744,3,0
210,210,elite,1678034750,3,2
211,211,imaginary,1678034757,4,2
212,212,explicit,1678034762,3,0
213,213,jurisdiction,1678034769,3,2
214,214,proximity,1678034774,4,0
215,215,deplore,1678034781,3,0
216,216,allegiance,1678034787,4,0
217,217,improvident,1678034793,3,0
218,218,deputy,1678034798,2,0
219,219,zealous,1678034805,4,0
220,220,elucidate,1678034812,5,0
221,221,equivalent,1678034818,3,2
222,222,intensive,1678034827,8,2
223,223,rumble,1678034834,4,2
224,224,hideous,1678034841,5,0
225,225,parade,1678034849,4,0
226,226,sociable,1678034862,5,2
227,227,effectuate,1678034869,5,0
228,228,flimsy,1678034880,4,0
229,229,segregate,1678034888,3,2
230,230,placate,1678034894,4,0
231,231,anonymous,1678034906,3,0
232,232,fertilizer,1678034918,3,0
233,233,hoax,1678034934,13,0
234,234,disprove,1678034956,8,1
235,235,imaginary,1678034964,5,2
236,236,heirship,1678034973,7,2
237,237,engross,1678035011,35,0
238,238,canny,1678035101,85,0
239,239,credulous,1678035110,6,1
240,240,dogma,1678035124,5,1
241,241,carnal,1678035132,5,0
242,242,fret,1678035139,6,0
243,243,divulge,1678035151,6,0
244,244,sediment,1678035159,3,1
245,245,rival,1678035165,3,1
246,246,inhabitant,1678035171,3,2
247,247,climax,1678035177,3,2
248,248,strip,1678035183,4,2
249,249,intricate,1678035238,52,1
250,250,density,1678035245,3,1
251,251,imaginary,1678035286,4,2
252,252,explicit,1678035307,20,0
253,253,allegiance,1678035361,51,2
254,254,improvident,1678035367,4,1
255,255,intricate,1678035386,4,2
256,256,deputy,1678035391,3,0
257,257,density,1678035399,2,2
258,258,zealous,1678035405,4,2
259,259,economize,1678035422,13,0
260,260,aggression,1678035432,5,0
261,261,convert,1678035438,4,1
262,262,cultivate,1678035444,5,0
263,263,imaginary,1678035449,2,2
264,264,fraudulent,1678035454,2,0
265,265,universal,1678035466,2,2
266,266,indignity,1678035472,4,0
267,267,postpone,1678035487,9,0
268,268,cohere,1678035497,3,2
269,269,muddle,1678035509,10,2
270,270,balance,1678035513,2,2
271,271,imaginary,1678035518,3,2
272,272,intricate,1678035520,0,2
273,273,negotiate,1678035526,3,2
274,274,assembly,1678035532,4,0
275,275,explicit,1678035553,10,0
276,276,originate,1678035563,3,2
277,277,elucidate,1678035568,2,0
278,278,density,1678035619,2,2
279,279,improvident,1678035624,3,0
280,280,deputy,1678035629,2,1
281,281,explicit,1678035648,15,2
282,282,proximity,1678035658,8,2
283,283,hazard,1678035663,3,0
284,284,pleasure,1678035673,2,2
285,285,deplore,1678035678,3,0
286,286,symbol,1678035705,18,2
287,287,improvident,1678035711,4,0
288,288,deputy,1678035716,3,0
289,289,parade,1678035725,6,0
290,290,elucidate,1678035733,6,0
291,291,placate,1678035743,7,0
292,292,anonymous,1678035746,2,2
293,293,improvident,1678035750,1,2
294,294,fertilizer,1678035756,4,2
295,295,deputy,1678035760,1,2
296,296,flimsy,1678035763,2,2
297,297,imaginary,1678035766,1,2
298,298,intricate,1678035769,1,2
299,299,thermometer,1678035779,7,0
300,300,novelty,1678035791,6,2
301,301,elucidate,1678035797,2,2
302,302,effectuate,1678035801,3,0
303,303,assess,1678035809,3,2
304,304,stable,1678035812,1,2
305,305,explicit,1678035821,6,2
306,306,deplore,1678035826,3,2
307,307,moisten,1678035832,4,2
308,308,charity,1678035837,3,2
309,309,improvident,1678035842,3,0
310,310,deputy,1678035848,3,0
311,311,hideous,1678035856,7,0
312,312,density,1678035859,1,2
313,313,elite,1678035863,2,2
314,314,parade,1678035868,3,0
315,315,improvident,1678035876,2,0
316,316,placate,1678035881,2,0
317,317,deputy,1678035884,1,2
318,318,elucidate,1678035888,2,0
319,319,effectuate,1678035892,2,0
320,320,hoax,1678035896,2,0
321,321,improvident,1678036049,3,0
322,322,parade,1678036061,3,2
323,323,placate,1678036067,3,0
324,324,deputy,1678036073,1,2
325,325,elucidate,1678036079,3,2
326,326,effectuate,1678036119,3,0
327,327,improvident,1678036152,6,1
328,328,hideous,1678036159,3,0
329,329,placate,1678036171,3,0
330,330,hoax,1678036180,4,2
331,331,explicit,1678036185,2,2
332,332,disprove,1678036187,0,2
333,333,improvident,1678036191,1,2
334,334,effectuate,1678036195,3,0
335,335,placate,1678036308,2,0
336,336,hideous,1678036318,4,0
337,337,parade,1678036323,2,2
338,338,elucidate,1678036327,2,2
339,339,improvident,1678036333,3,2
340,340,deplore,1678036337,2,2
341,341,effectuate,1678036341,1,2
342,342,placate,1678036344,1,0
343,343,hideous,1678056276,15,0
344,344,deputy,1678056284,7,2
345,345,improvident,1678056290,3,0
346,346,intricate,1678056297,5,2
347,347,effectuate,1678056307,7,0
348,348,aggression,1678056314,3,0
349,349,placate,1678056320,3,0
350,350,economize,1678056329,7,0
351,351,allegiance,1678056333,2,2
352,352,zealous,1678056337,1,2
353,353,imaginary,1678056341,1,2
354,354,credulous,1678056345,2,2
355,355,placate,1678056350,2,0
356,356,hideous,1678056356,3,0
357,357,improvident,1678056364,3,0
358,358,proximity,1678056367,2,2
359,359,effectuate,1678056374,3,0
360,360,cultivate,1678056380,3,0
361,361,placate,1678056389,6,0
362,362,sediment,1678056392,2,2
363,363,hideous,1678056398,2,2
364,364,improvident,1678056404,4,0
365,365,effectuate,1678056413,6,0
366,366,density,1678056419,1,2
367,367,placate,1678056429,7,2
368,368,convert,1678056433,2,2
369,369,hideous,1678056438,2,2
370,370,elucidate,1678056442,2,0
371,371,improvident,1678056451,4,2
372,372,effectuate,1678056456,2,0
373,373,placate,1678056462,4,2
374,374,explicit,1678056467,3,0
375,375,parade,1678056473,3,0
376,376,forge,1678056480,5,2
377,377,deplore,1678056486,4,2
378,378,improvident,1678056490,2,2
379,379,effectuate,1678056499,6,0
380,380,placate,1678056504,3,2
381,381,climax,1678056508,1,2
382,382,rival,1678056514,4,2
383,383,imaginary,1678056520,3,2
384,384,muddle,1678056526,5,2
385,385,effectuate,1678056532,3,0
386,386,elite,1678056537,1,2
387,387,placate,1678056541,1,2
388,388,equivalent,1678056546,2,2
389,389,fraudulent,1678056552,4,0
390,390,carnal,1678056561,3,0
391,391,effectuate,1678056566,3,0
392,392,fertilizer,1678056572,5,0
393,393,anonymous,1678056580,2,0
394,394,flimsy,1678056586,2,0
395,395,hoax,1678056591,2,0
396,396,fret,1678056605,5,0
397,397,effectuate,1678056616,4,0
398,398,divulge,1678056642,23,0
399,399,dogma,1678056652,7,2
400,400,canny,1678056658,4,0
401,401,engross,1678056671,4,0
402,402,hideous,1678056679,5,2
403,403,effectuate,1678056686,4,2
404,404,jurisdiction,1678056691,3,2
405,405,disprove,1678056700,6,2
406,406,aggression,1678056708,5,0
407,407,economize,1678056716,6,2
408,408,sociable,1678056718,0,2
409,409,effectuate,1678056723,2,2
410,410,placate,1678056726,1,2
411,411,segregate,1678056731,1,2
412,412,indignity,1678056735,2,0
413,413,postpone,1678056745,5,2
414,414,assembly,1678056753,6,0
415,415,effectuate,1678056767,9,2
416,416,hazard,1678056775,6,0
417,417,aggression,1678056780,3,2
418,418,thermometer,1678056788,7,2
419,419,intensive,1678056795,4,2
420,420,rumble,1678056798,2,2
421,421,effectuate,1678056805,3,2
422,422,carnal,1678056809,2,0
423,423,fret,1678056885,74,2
424,424,divulge,1678056889,2,2
425,425,canny,1678056895,3,2
426,426,engross,1678056901,4,2
427,427,improvident,1678056908,4,2
428,428,effectuate,1678056912,2,2
429,429,carnal,1678056917,2,2
430,430,heirship,1678056921,3,2
431,431,inhabitant,1678056953,29,2
432,432,parade,1678056979,24,2
433,433,hoax,1678056990,8,2
434,434,sacred,1678057000,8,2
435,435,hazard,1678057007,4,0
436,436,pose,1678057167,160,2
437,437,carnal,1678057173,3,2
438,438,fertilizer,1678057180,5,0
439,439,anonymous,1678057187,3,0
440,440,flimsy,1678057192,4,2
441,441,hazard,1678057198,3,2
442,442,hideous,1678057203,3,2
443,443,elucidate,1678057207,2,2
444,444,fertilizer,1678057755,15,0
445,445,fret,1678057766,9,0
446,446,anonymous,1678057936,48,2
447,447,divulge,1678057948,10,0
448,448,hazard,1678058015,64,0
449,449,canny,1678058049,33,0
450,450,fertilizer,1678058072,19,0
451,451,cultivate,1678058081,7,2
452,452,fret,1678058100,16,0
453,453,engross,1678058114,11,2
454,454,divulge,1678058143,26,0
455,455,hazard,1678058149,4,0
456,456,fertilizer,1678058165,12,2
457,457,canny,1678058171,5,2
458,458,fret,1678058206,33,1
459,459,fraudulent,1678058215,7,1
460,460,divulge,1678058221,3,1
461,461,aggression,1678058225,3,2
462,462,hazard,1678058231,3,2
463,463,fertilizer,1678058237,5,2
464,464,fret,1678058249,9,2
465,465,indignity,1678058253,3,0
466,466,divulge,1678058258,3,0
467,467,assembly,1678058303,43,2
468,468,fraudulent,1678058312,6,0
469,469,hazard,1678058316,2,2
470,470,fret,1678058339,20,2
471,471,hoax,1678058344,4,2
472,472,divulge,1678058350,3,0
473,473,indignity,1678058367,8,0
474,474,fraudulent,1678058374,4,0
475,475,anonymous,1678058380,4,2
476,476,sediment,1678058385,2,2
477,477,rival,1678058389,1,2
478,478,divulge,1678058395,3,0
479,479,dogma,1678058399,2,2
480,480,fraudulent,1678058406,3,0
481,481,indignity,1678058447,9,0
482,482,carnal,1678058456,4,2
483,483,explicit,1678058462,4,0
484,484,divulge,1678058725,3,0
485,485,fertilizer,1678058732,5,2
486,486,fraudulent,1678058738,3,0
487,487,canny,1678058749,5,2
488,488,indignity,1678058757,5,2
489,489,effectuate,1678058765,6,2
490,490,divulge,1678058774,5,2
491,491,explicit,1678058778,2,2
492,492,fraudulent,1678058813,32,2
493,493,placate,1678058820,5,2
494,494,indignity,1678058826,3,2
495,495,flimsy,1678058830,2,2
496,496,divulge,1678058836,2,0
497,497,fret,1678058846,6,2
498,498,fraudulent,1678058852,3,0
499,499,parade,1678058923,67,2
500,500,hazard,1678058936,11,2
501,501,economize,1678058943,5,0
502,502,divulge,1678059941,995,2
503,503,engross,1678059948,5,2
504,504,fraudulent,1678059955,4,0
505,505,indignity,1678059960,3,2
506,506,hideous,1678059969,6,2
507,507,zealous,1678059973,2,2
508,508,divulge,1678059978,2,0
509,509,economize,1678059984,3,2
510,510,fraudulent,1678059989,2,0
511,511,allegiance,1678059993,2,2
512,512,improvident,1678060000,3,0
513,513,cultivate,1678060006,4,2
514,514,divulge,1678060012,2,0
515,515,credulous,1678060014,2,2
516,516,fraudulent,1678060020,3,2
517,517,effectuate,1678060028,6,2
518,518,improvident,1678060034,3,2
519,519,proximity,1678060037,2,2
520,520,divulge,1678060042,2,2
521,521,assembly,1678060046,2,2
522,522,fraudulent,1678060055,5,2
523,523,anonymous,1678060061,3,2
524,524,disprove,1678060073,10,2
525,525,deputy,1678060078,2,2
526,526,divulge,1678060083,2,2
527,527,elucidate,1678060251,166,2
528,528,fraudulent,1678060387,133,0
529,529,sediment,1678060391,1,2
530,530,explicit,1678060417,23,0
531,531,rival,1678060420,2,2
532,533,divulge,1678060425,3,0
533,534,dogma,1678060512,2,2
534,535,fraudulent,1678060825,310,2
535,536,placate,1678060829,2,2
536,537,explicit,1678061008,176,2
537,538,hoax,1678061011,1,2
538,539,divulge,1678061015,2,2
539,540,carnal,1678061019,3,2
540,541,fraudulent,1678061258,235,2
541,542,canny,1678061274,14,2
542,543,beat,1678061277,0,2
543,544,talent,1678061279,1,2
544,545,divulge,1678061286,4,1
545,546,fertilizer,1678061309,21,2
546,547,aggression,1678061348,36,2
547,548,fret,1678061385,34,2
548,549,fraudulent,1678061441,53,2
549,532,stamina,1678062592,1149,2
550,550,divulge,1678062598,3,0
551,551,principal,1678062600,1,2
552,552,improvident,1678062605,2,0
553,553,hazard,1678062638,32,2
554,554,biochemistry,1678062642,2,2
555,555,complement,1678062847,203,2
556,556,divulge,1678062855,5,2
557,557,copy,1678062858,1,2
558,558,improvident,1678063148,287,2
559,559,dessert,1678063151,2,2
560,560,economize,1678063155,2,2
561,561,deplore,1678063158,1,2
562,562,divulge,1678063164,3,2
563,563,chill,1678063168,3,2
564,564,quaint,1678063174,2,0
565,565,needy,1678063176,1,2
566,566,alert,1678063179,1,2
567,567,abundant,1678063182,1,2
568,568,applicant,1678063186,1,2
569,569,concede,1678063189,2,0
570,570,correlate,1678063469,278,2
571,571,gallery,1678063472,2,2
572,572,quaint,1678063478,2,0
573,573,divulge,1678063481,2,0
574,574,inhabitant,1678063488,2,2
575,575,heirship,1678063490,1,2
576,576,concede,1678068432,4940,2
577,577,convert,1678068436,2,2
578,578,quaint,1678068441,1,0
579,579,engross,1678068452,2,2
580,580,divulge,1678068457,2,2
581,581,flimsy,1678068460,2,2
582,582,strip,1678068465,1,2
583,583,sociable,1678068468,1,2
584,584,quaint,1678068474,3,2
585,585,postpone,1678068477,2,2
586,586,parade,1678068483,3,1
587,587,indignity,1678068489,4,0
588,588,forge,1678068497,6,2
589,589,hideous,1678068511,12,2
590,590,quaint,1678068520,6,2
591,591,explicit,1678068590,69,2
592,592,parade,1678068597,4,2
593,593,effectuate,1678068603,4,2
594,594,indignity,1678068610,4,2
595,595,improvident,1678068613,2,2
596,596,segregate,1678068617,1,2
597,597,thermometer,1678068620,1,2
598,598,intensive,1678068638,15,2
599,599,rumble,1678068641,1,2
600,600,equivalent,1678068648,4,2
601,601,jurisdiction,1678068652,3,2
602,602,divulge,1678068662,6,1
603,603,placate,1678068669,4,2
604,604,garner,1678068676,4,2
605,605,fraudulent,1678068682,5,1
606,606,deputy,1678068695,3,2
607,607,elucidate,1678068733,36,2
608,608,divulge,1678068741,5,2
609,609,quaint,1678068746,2,2
610,610,anonymous,1678068750,2,2
611,611,fret,1678068754,1,2
612,612,fraudulent,1678068763,6,2
613,613,fertilizer,1678068889,124,2
614,614,divulge,1678068895,3,2
615,615,hoax,1678068900,2,2
616,616,carnal,1678068904,1,2
617,617,canny,1678068910,4,2
618,618,hazard,1678068913,0,2
619,619,concede,1678068915,0,2
620,620,cultivate,1678068920,2,2
621,621,credulous,1678068922,1,2
622,622,proximity,1678068926,0,2
623,623,zealous,1678068929,1,2
624,624,allegiance,1678068933,1,2
625,625,assembly,1678068943,7,2
626,626,disprove,1678068963,17,2
627,627,sediment,1678068967,1,2
628,628,rival,1678068970,1,2
629,629,dogma,1678068973,1,2
630,630,tilted,1678068977,1,2
631,631,ore,1678068985,6,2
632,632,urge,1678068990,2,2
633,633,crush,1678068993,1,2
634,634,venerate,1678069000,4,0
635,635,rugged,1678069006,2,0
636,636,throng,1678069012,2,0
637,637,dab,1678069022,4,0
638,638,neutral,1678069029,3,2
639,639,patronage,1678069033,2,0
640,640,venerate,1678069039,2,0
641,641,forth,1678069044,3,2
642,642,throng,1678069050,2,0
643,643,rugged,1678069057,1,2
644,644,dab,1678069063,3,2
645,645,neutral,1678069066,1,2
646,646,venerate,1678069072,3,0
647,647,patronage,1678069095,17,0
648,648,throng,1678069100,2,2
649,649,forth,1678069101,0,2
650,650,dab,1678069106,1,2
651,651,rugged,1678069108,1,2
652,652,venerate,1678069114,2,2
653,653,ore,1678069117,1,2
654,654,patronage,1678069125,5,0
655,655,throng,1678069132,2,0
656,656,dab,1678069141,4,2
657,657,urge,1678069152,9,2
658,658,venerate,1678069157,2,0
659,659,rugged,1678069164,1,2
660,660,patronage,1678069171,5,2
661,661,crush,1678069174,1,2
662,662,throng,1678069179,2,2
663,663,tilted,1678069183,2,0
664,664,venerate,1678069424,232,2
665,665,forth,1678069427,2,2
666,666,patronage,1678069446,1,0
667,667,neutral,1678069457,1,2
668,668,throng,1678069462,2,2
669,669,crush,1678069502,2,2
670,670,venerate,1678069509,3,2
671,671,tilted,1678069513,3,2
672,672,patronage,1678069516,0,0
673,673,ore,1678069521,1,2
674,674,throng,1678069536,13,2
675,675,urge,1678069543,5,0
676,676,venerate,1678069629,82,2
677,677,dab,1678069634,3,2
678,678,patronage,1678069641,4,2
679,679,tilted,1678069651,8,2
680,680,throng,1678069656,2,2
681,681,rugged,1678069658,1,2
682,682,urge,1678069670,8,2
683,683,venerate,1678069675,4,2
684,684,patronage,1678069916,237,2
685,685,role,1678069920,2,2
686,686,allusion,1678069926,3,0
687,687,poise,1678069941,9,0
688,688,ravage,1678070198,253,0
689,689,unshaken,1678070205,5,2
690,690,patronage,1678070213,5,0
691,691,uphold,1678070221,6,2
692,692,allusion,1678070227,2,0
693,693,role,1678070229,1,2
694,694,ravage,1678070234,2,2
695,695,poise,1678070482,247,2
696,696,patronage,1678070488,2,2
697,697,unshaken,1678070491,1,2
698,698,allusion,1678070496,2,2
699,699,uphold,1678070501,3,2
700,700,ravage,1678070507,2,2
701,701,parade,1678070864,355,2
702,702,poise,1678070869,2,2
703,703,patronage,1678070872,2,2
704,704,allusion,1678071095,220,2
705,705,inertial,1678071103,6,2
706,706,ravage,1678073926,2820,2
707,707,indignity,1678073929,1,2
708,708,poise,1678073933,1,2
709,709,inclined,1678073936,2,2
710,710,allusion,1678073942,3,2
711,711,rim,1678073946,2,2
712,712,inertial,1678073952,3,2
713,713,amazed,1678073955,2,2
714,714,invoke,1678073961,2,2
715,715,smell,1678073964,1,2
716,716,diagram,1678073970,3,2
717,717,plot,1678073975,2,2
718,718,valid,1678074407,429,2
719,719,decent,1678074410,1,2
720,720,culpable,1678074415,2,0
721,721,attainment,1678074419,2,0
722,722,beneficiary,1678074424,2,2
723,723,ineligible,1678074429,3,2
724,724,intrinsic,1678074434,2,2
725,725,costume,1678074438,2,2
726,726,culpable,1678074443,1,2
727,727,impatient,1678074447,2,2
728,728,attainment,1678074455,4,2
729,729,whir,1678074464,7,2
730,730,aged,1678074469,2,2
731,731,carnage,1678074478,7,0
732,732,defunct,1678074483,2,0
733,733,soothe,1678074493,2,2
734,734,repulsive,1678074566,70,2
735,735,unearth,1678075011,443,2
736,736,culpable,1678075025,10,2
737,737,attainment,1678075032,5,2
738,738,defunct,1678075038,3,0
739,739,carnage,1678075042,2,0
740,740,soothe,1678075049,4,0
741,741,decent,1678075058,7,0
742,742,unearth,1678075067,3,0
743,743,aged,1678075069,1,2
744,744,defunct,1678075075,2,0
745,745,impatient,1678075081,1,2
746,746,carnage,1678075086,2,0
747,747,soothe,1678075097,8,2
748,748,unearth,1678075100,0,2
749,749,decent,1678075102,0,0
